age,Motorik Kasar,Motorik Halus,Komunikasi/Bahasa Lisan,Ekspresif,Menyimak,Kemampuan Pra Akademik,Membaca/Menulis,Sosial Skill,Actual_Growth,Predicted_Prob,Predicted_Class_Default_0.5,Predicted_Class_Optimal_Threshold,Actual_Label,Predicted_Label_0.5,Predicted_Label_Optimal
4,1,1,4,4,1,3,4,2,1,0.7,1,1,Normal,Normal,Normal
0,1,2,2,1,2,1,3,2,1,0.7142857142857143,1,1,Normal,Normal,Normal
0,1,2,3,1,4,2,3,4,1,1.0,1,1,Normal,Normal,Normal
3,4,1,4,1,1,3,4,3,1,0.6428571428571429,1,1,Normal,Normal,Normal
1,2,2,4,1,4,4,3,4,1,0.3,0,0,Normal,Terlambat,Terlambat
0,4,3,3,1,4,4,2,3,1,0.75,1,1,Normal,Normal,Normal
3,3,4,2,2,3,4,2,1,1,0.14285714285714285,0,0,Normal,Terlambat,Terlambat
0,3,1,1,2,4,2,4,3,1,0.5,0,1,Normal,Terlambat,Normal
2,4,4,4,2,2,4,4,2,0,0.7857142857142857,1,1,Terlambat,Normal,Normal
0,3,1,2,3,3,4,1,4,1,0.45454545454545453,0,1,Normal,Terlambat,Normal
1,3,2,4,1,2,1,3,1,1,1.0,1,1,Normal,Normal,Normal
3,1,1,3,2,3,2,1,2,1,1.0,1,1,Normal,Normal,Normal
5,4,4,2,2,4,1,3,3,0,1.0,1,1,Terlambat,Normal,Normal
2,4,1,2,4,3,1,2,3,1,0.42857142857142855,0,1,Normal,Terlambat,Normal
4,1,1,4,4,2,2,3,4,1,0.35714285714285715,0,0,Normal,Terlambat,Terlambat
3,2,3,1,1,1,2,3,1,1,1.0,1,1,Normal,Normal,Normal
5,1,3,2,1,2,1,2,1,0,1.0,1,1,Terlambat,Normal,Normal
5,2,3,3,4,1,4,3,4,0,0.5,0,1,Terlambat,Terlambat,Normal
5,2,2,2,3,3,1,2,2,1,0.125,0,0,Normal,Terlambat,Terlambat
3,2,4,3,3,2,2,4,4,1,0.9230769230769231,1,1,Normal,Normal,Normal
4,1,2,4,1,2,4,1,4,1,1.0,1,1,Normal,Normal,Normal
0,2,1,3,2,4,2,3,1,1,0.6153846153846154,1,1,Normal,Normal,Normal
3,4,3,3,1,1,1,1,4,0,0.375,0,0,Terlambat,Terlambat,Terlambat
4,4,2,1,2,4,4,4,4,1,0.9166666666666666,1,1,Normal,Normal,Normal
2,4,3,1,1,2,4,3,3,1,0.7272727272727273,1,1,Normal,Normal,Normal
3,4,4,1,3,4,1,4,3,1,0.6666666666666666,1,1,Normal,Normal,Normal
1,4,3,2,2,2,1,2,4,0,0.0,0,0,Terlambat,Terlambat,Terlambat
0,2,4,4,1,2,4,4,3,1,0.5555555555555556,1,1,Normal,Normal,Normal
2,1,3,4,4,1,4,2,3,0,1.0,1,1,Terlambat,Normal,Normal
3,2,1,2,1,2,2,3,2,1,0.42857142857142855,0,1,Normal,Terlambat,Normal
